اسم الدواء,لينك الصورة
tavixinor 750 mg 5 f.c. tabs,https://cdn.dawaagate.com/images/medicines/tavixinor-750-mg-5-fc-tabs-144-3c738c.webp
tavixinor 500 mg 5 f.c. tabs,https://cdn.dawaagate.com/images/medicines/tavixinor-500-mg-5-fc-tabs-145-7e254f.webp
sunnymerop 1 gm i.v. vial,https://cdn.dawaagate.com/images/medicines/sunnymerop-1-gm-iv-vial-183-d088bc.webp
septazole forte 800/160mg 10 tabs,https://cdn.dawaagate.com/images/medicines/septazole-forte-800160mg-10-tabs-264-149076.webp
vondalous 10 mg 20 f.c. tabs,https://cdn.dawaagate.com/images/medicines/vondalous-10-mg-20-fc-tabs-36-1f4d2d.webp
thimepro d3 30 ml drops,https://cdn.dawaagate.com/images/medicines/thimepro-d3-30-ml-drops-138-3af519.webp
sona drink 10 sachets,https://cdn.dawaagate.com/images/medicines/sona-drink-10-sachets-225-dfdf19.webp
sekem laxi herbs 15 filter bags,https://cdn.dawaagate.com/images/medicines/sekem-laxi-herbs-15-filter-bags-271-e9b4fe.webp
santabiota oral drops 15 ml,https://cdn.dawaagate.com/images/medicines/santabiota-oral-drops-15-ml-287-454ff1.webp
royal ginger 12 filter bags,https://cdn.dawaagate.com/images/medicines/royal-ginger-12-filter-bags-318-d1bb41.webp
rennie 24 chew. tab,https://cdn.dawaagate.com/images/medicines/rennie-24-chew-tab-365-a144c9.webp
racecasec 100 mg 10 caps,https://cdn.dawaagate.com/images/medicines/racecasec-100-mg-10-caps-381-b27961.webp
potenzym 20 tablets,https://cdn.dawaagate.com/images/medicines/potenzym-20-tablets-412-bcb030.webp
pantomedra 40 mg 28 e.c. tabs,https://cdn.dawaagate.com/images/medicines/pantomedra-40-mg-28-ec-tabs-448-d448f5.webp
pangestazol 40mg 28 tabs,https://cdn.dawaagate.com/images/medicines/pangestazol-40mg-28-tabs-451-3c5017.webp
zma 90 veg. caps. (now),https://cdn.dawaagate.com/images/medicines/zma-90-veg-caps-now-4.webp
zinobacilly oral drops 10 ml,https://cdn.dawaagate.com/images/medicines/zinobacilly-oral-drops-10-ml-5-3452f4.webp
zamcillus probiotic drops 10 ml,https://cdn.dawaagate.com/images/medicines/zamcillus-probiotic-drops-10-ml-11-52ea55.webp
ximalact 250 mg 30 caps,https://cdn.dawaagate.com/images/medicines/ximalact-250-mg-30-caps-16-6cf9e5.webp
whey protein powder 900 gm 30 serve,https://cdn.dawaagate.com/images/medicines/whey-protein-powder-900-gm-30-serve-24-40f26f.webp
whey protein powder 2100 gm 70 serve,https://cdn.dawaagate.com/images/medicines/whey-protein-powder-2100-gm-70-serve-26-460d5d.webp
whey protein isolate powder vanilla 816 gm (1.8 lbs) (now),https://cdn.dawaagate.com/images/medicines/whey-protein-isolate-powder-vanilla-816-gm-18-lbs-now-27-5155b4.webp
whey protein isolate powder chocolate 816 gm (1.8 lbs) (now),https://cdn.dawaagate.com/images/medicines/whey-protein-isolate-powder-chocolate-816-gm-18-lbs-now-28-6836f4.webp
whey protein isolate powder 544 gm (1.2 lbs) (now),https://cdn.dawaagate.com/images/medicines/whey-protein-isolate-powder-544-gm-12-lbs-now-29-8be3a6.webp
valulit syrup 120ml,https://cdn.dawaagate.com/images/medicines/valulit-syrup-120ml-90-3545d8.webp
tussin syrup 100 ml,https://cdn.dawaagate.com/images/medicines/tussin-syrup-100-ml-112-67a9a0.webp
topaken syrup 100 ml,https://cdn.dawaagate.com/images/medicines/topaken-syrup-100-ml-124-f75058.webp
stopadol cold & flu 20 caps,https://cdn.dawaagate.com/images/medicines/stopadol-cold-flu-20-caps-195-4f5010.webp
respovan 120 ml syrup,https://cdn.dawaagate.com/images/medicines/respovan-120-ml-syrup-363-5420d8.webp
histonic syrup 120 ml,https://cdn.dawaagate.com/images/medicines/histonic-syrup-120-ml-797-5c96e1.webp
hisatrup 1mg/ml syrup 120 ml,https://cdn.dawaagate.com/images/medicines/hisatrup-1mgml-syrup-120-ml-798-bbc397.webp
elballerge 30mg/5ml susp. 100 ml,https://cdn.dawaagate.com/images/medicines/elballerge-30mg5ml-susp-100-ml-948-1f901a.webp
badotirizin 5mg/5ml syrup 125ml,https://cdn.dawaagate.com/images/medicines/badotirizin-5mg5ml-syrup-125ml-1197-e5c45a.webp
astin 20 mg 20 f.c.tabs,https://cdn.dawaagate.com/images/medicines/astin-20-mg-20-fctabs-1234-4b4a91.webp
astin 10 mg 20 f.c. tabs,https://cdn.dawaagate.com/images/medicines/astin-10-mg-20-fc-tabs-1235-50c623.webp
allergyl 4 mg 20 tabs,https://cdn.dawaagate.com/images/medicines/allergyl-4-mg-20-tabs-1274-af8507.webp
caftohist 0.25% eye drops 3 ml,https://cdn.dawaagate.com/images/medicines/caftohist-025-eye-drops-3-ml-1365-912483.webp
alerid 10 mg 30 f.c.tabs,https://cdn.dawaagate.com/images/medicines/alerid-10-mg-30-fctabs-1485-006603.webp
rhipgic 5 mg 30 f.c. tabs,https://cdn.dawaagate.com/images/medicines/rhipgic-5-mg-30-fc-tabs-1744-0a4e6d.webp
romage cream,https://dw2.org/img/15179.jpg
xithrobiotic ophthalmic sol. 2.5 ml,https://dw2.org/img/19355.jpg
ursodol 250 mg 10 caps,https://www.bloompharmacy.com/cdn/shop/products/ursofalk-250-mg-20-capsules-955197.jpg?v=1687731876
zinc acid 20 tabs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM4Sp1aAdtZy3iMsVToYSHL6ezp83y3QMjBZPQ4EQQTA&s=10
zakio 120 ml syrup,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXNlt-fXLR9H7TOPXD9Xh57g27VeIcCDJ8SqU9_9371g&s=10
whey protein powder 420 gm 14 serve,https://dwaprices.com/upload/1775675593.png
centravita solvo plus 20 tablets,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQzQhVSNeaB6_19qAhb4izSykyqIC4BeUUfLP_F-GIeGg&s=10
mave tec syrup 120 ml,https://dw2.org/img/10689.jpg
linkocetamol 10 sachets pwd. for oral susp,https://gardeniapharmacies.com/wp-content/uploads/2023/08/linex-sachets-for-adult-768x432.jpg.webp
krota 120ml syrup,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQHf0B_L8Ar87MwdsL_6OvT0qlp1SW5CxT3SpGO9IcMwA&s=10
ivyroegy syrup 120ml,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmH5Ru3CV8-uLsbjeZVwdP5UZkGWPcX5kcDQUSDLyloQ&s=10
ivymune syrup 120 ml,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDCPLk72t-yRZZcqJfspOHGJZPU2ccj9Sk5yHrqsBM2Q&s=10
ramatrizine 5 mg 30 f.c.tabs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJxEnbX8CFd---EFfq7zrrakGCwjt4Ap5R0FYYAfAyUQ&s=10
telfast decongestant 60/120mg 10 ext. rel. tabs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7ll2VtwtDP53kMCdSuX53WJBhxgdlggIR65ZkoZ6AAg&s=10
skivalorine 2.5mg/5ml syrup 150ml,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfRGv-BRQYsKOKD1FaywsIcpzC2_bJ2LFRu0__RtcfAA&s
thyroxine 50mcg 100 tab,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIY5mrjQUuecp4M3D-Sc1qZsfO-T4VCDns_XEWdlf-_w&s=10
thyroxine 100mcg 100 tab,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAXajrOXWRm6W5mrNLBsfGd1t0fZ-7oEEOx43vEAaiMg&s=10
eltroxin 50mcg 100 tabs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThMA2eyO14pIP0zW9G8Pz0QxQRoOldmTJg_HyyRjyELA&s
eltroxin 100 mcg 100 tabs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR11ePkqk9ag19MZ-IA1DhjOT80Boa6peBYKdOMEAA-AQ&s=10
Concor 5mg,https://www.bloompharmacy.com/cdn/shop/products/concor-5-mg-30-tablets-868718.jpg?v=1687635266
Amlopres 5mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmaPIT_1beNJvW83Z3M2QnURLGV2FUUVW6ys__HPlMHw&s=10
Diovan 80mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTD22_LUTkVC_8xvu_qG0cAo8iOPXWXiqqyKc-rItrPEA&s=10
Norvasc 5mg,https://www.bloompharmacy.com/cdn/shop/products/norvasc-5-mg-10-tablets-677490.jpg?v=1707299145
Capoten 25mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGmLSRsFd-3KmTnXdKNPFFNjm2v0-hrAQqpoEGz7sadA&s=10
Glucophage 500mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAslLRM_QoN3-dc1QGX4138nS2EjIPxDWvbZdCBGOc2Q&s=10
Glucomin 500mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhLr_AX7ygSzxa1tuCeLO7fAzrG8yaEg3VCxTyDsCFng&s=10
Galvus Met 50/1000mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRN90MbqpARhIwCTcmNVSg6nx0Huyryk3XCF8UWa8MfJg&s=10
Amaryl 2mg,https://www.bloompharmacy.com/cdn/shop/files/amaryl-2-mg-30-tablets-208077.jpg?v=1713405820
Diamicron MR 60mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRPkwnyRcezVVwKIufofghIC1xF6vyZrA9cPWaUpb0GQ&s=10
Lipitor 20mg,https://www.bloompharmacy.com/cdn/shop/products/lipitor-20-mg-28-tablets-594116.jpg?v=1687635954
Crestor 10mg,https://www.bloompharmacy.com/cdn/shop/products/crestor-10-mg-28-tablets-126459.jpg?v=1687732349
Panadol Extra,https://www.bloompharmacy.com/cdn/shop/files/panadol-extra-24-tablets-241421.jpg?v=1739104999
Bi Alcofan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFa0QdrJgkhaWcsbF--vRTA7vBii5cGhHfPWWl0gH8FA&s=10
Cataflam 50mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNYPEMWaBAKsreXTAEPUVD1xpx2qmpF-rZeRoSutdVsg&s=10
Brufen 400mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNSAfq_BuJJ3MiiU9mjE4oSK7M1naLOP5us7Qfdcbn1w&s=10
Amoclan 1g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpcoTP5rx4ZUkkv1v9hB5rd782duTK2px8Vilw3Jg4Ww&s=10
Augmentin 1g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUrLacqJgeF8zoczf5h29yByXIp4tPsvyFbYARBVNSgw&s=10
Zinnat 500mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFYprO5EmtaXjEk4_aDl_8YOXs8ytrqn_Xq86avMDKOg&s=10
Rani 150mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1ujcterzoAFy6LGIMDiIMW1dSzMvWQ02GMMjrE6pbSQ&s=10
Motilium 10mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZHi8SLOKWqvCXmcFPbGUtNrYvT_-5waH9-n0wpq763w&s=10
Nexium 40mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-08yfh-3CVoZ8BHBZ0yjksk89b3KJ6Ul0-GT7XH2_dg&s=10
Cal-D-Vita,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRhgMuIE6w2VTDg2IHKQcNHTVN3WhkNs11RyowE7kg5AA&s=10
Bio Vit-C 1000mg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5M8tfcbEG1bi5tu1-O1gNTQnWSV6Inpa5t2bJnBrGuw&s=10
Feroglobin,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW2-p1S2vZ1itbIKjdEhuAzGjVeEEolF1fcwu7Nj3Qmg&s=10
Omega Life 3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJ80tYD_j1QqWoWp2CqD9zn7qieA57rSaSD34jZUrFug&s=10
Coldrex,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQsRY3lNdtmHvVQBPeK7X9gQUkpo4VNuU1jCtFkDhdT3A&s=10
Comtrex,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_ZvdP_KgMpNwdeVBxXi4CEvsdAONy9Lp-rjDMjkmgBw&s=10
Zyrtec 10mg,https://www.bloompharmacy.com/cdn/shop/products/zyrtec-10-mg-20-tablets-382069.jpg?v=1687731891
