name,category,is_chronic,base_price,default_cycle_days,image_url
whey protein isolate powder chocolate 816 gm (1.8 lbs) (now),فيتامينات,FALSE,1700.00,30,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/whey-protein-isolate-powder-chocolate-816-gm-1-8-lbs-now.webp
whey protein isolate powder 544 gm (1.2 lbs) (now),فيتامينات,FALSE,1000.00,30,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/whey-protein-isolate-powder-544-gm-1-2-lbs-now.webp
centravita solvo plus 20 tablets,نزلات برد,FALSE,86.00,10,
valulit syrup 120ml,نزلات برد,FALSE,59.00,10,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/valulit-syrup-120ml.webp
tussin syrup 100 ml,نزلات برد,FALSE,9.50,10,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/tussin-syrup-100-ml.webp
topaken syrup 100 ml,نزلات برد,FALSE,85.00,10,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/topaken-syrup-100-ml.webp
stopadol cold & flu 20 caps,نزلات برد,FALSE,33.00,10,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/stopadol-cold-flu-20-caps.webp
respovan 120 ml syrup,نزلات برد,FALSE,60.00,10,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/respovan-120-ml-syrup.webp
mave tec syrup 120 ml,نزلات برد,FALSE,37.00,10,
linkocetamol 10 sachets pwd. for oral susp,نزلات برد,FALSE,25.00,10,
krota 120ml syrup,نزلات برد,FALSE,40.00,10,
ivyroegy syrup 120ml,نزلات برد,FALSE,59.00,10,
ivymune syrup 120 ml,نزلات برد,FALSE,59.00,10,
histonic syrup 120 ml,نزلات برد,FALSE,39.00,10,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/histonic-syrup-120-ml.webp
ramatrizine 5 mg 30 f.c.tabs,حساسية,FALSE,63.00,20,
hisatrup 1mg/ml syrup 120 ml,حساسية,FALSE,28.00,20,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/hisatrup-1mg-ml-syrup-120-ml.webp
elballerge 30mg/5ml susp. 100 ml,حساسية,FALSE,22.00,20,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/elballerge-30mg-5ml-susp-100-ml.webp
badotirizin 5mg/5ml syrup 125ml,حساسية,FALSE,17.50,20,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/badotirizin-5mg-5ml-syrup-125ml.webp
astin 20 mg 20 f.c.tabs,حساسية,FALSE,28.80,20,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/astin-20-mg-20-f-c-tabs.webp
astin 10 mg 20 f.c. tabs,حساسية,FALSE,28.80,20,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/astin-10-mg-20-f-c-tabs.webp
allergyl 4 mg 20 tabs,حساسية,FALSE,6.00,20,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/allergyl-4-mg-20-tabs.webp
caftohist 0.25% eye drops 3 ml,حساسية,FALSE,50.00,20,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/caftohist-0-25-eye-drops-3-ml.webp
alerid 10 mg 30 f.c.tabs,حساسية,FALSE,63.00,20,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/alerid-10-mg-30-f-c-tabs.webp
rhipgic 5 mg 30 f.c. tabs,حساسية,FALSE,19.50,20,https://quhfheudhewxqmvxwjij.supabase.co/storage/v1/object/public/drug-images/rhipgic-5-mg-30-f-c-tabs.webp
telfast decongestant 60/120mg 10 ext. rel. tabs,حساسية,FALSE,40.00,20,
skivalorine 2.5mg/5ml syrup 150ml,حساسية,FALSE,13.50,20,
thyroxine 50mcg 100 tab,مزمن - غدة درقية,TRUE,46.00,30,
thyroxine 100mcg 100 tab,مزمن - غدة درقية,TRUE,58.00,30,
eltroxin 50mcg 100 tabs,مزمن - غدة درقية,TRUE,78.00,30,
eltroxin 100 mcg 100 tabs,مزمن - غدة درقية,TRUE,115.00,30,
Concor 5mg,مزمن - ضغط,true,85,30,
Amlopres 5mg,مزمن - ضغط,true,45,30,
Diovan 80mg,مزمن - ضغط,true,150,30,
Norvasc 5mg,مزمن - ضغط,true,60,30,
Capoten 25mg,مزمن - ضغط,true,35,30,
Glucophage 500mg,مزمن - سكر,true,40,30,
Glucomin 500mg,مزمن - سكر,true,35,30,
Galvus Met 50/1000mg,مزمن - سكر,true,220,30,
Amaryl 2mg,مزمن - سكر,true,90,30,
Diamicron MR 60mg,مزمن - سكر,true,110,30,
Lipitor 20mg,مزمن - كوليسترول,true,130,30,
Crestor 10mg,مزمن - كوليسترول,true,160,30,
Panadol Extra,مسكنات,false,20,10,
Bi Alcofan,مسكنات,false,30,10,
Cataflam 50mg,مسكنات,false,25,10,
Brufen 400mg,مسكنات,false,22,10,
Amoclan 1g,مضاد حيوي,false,65,7,
Augmentin 1g,مضاد حيوي,false,90,7,
Zinnat 500mg,مضاد حيوي,false,110,7,
Rani 150mg,جهاز هضمي,false,15,15,
Motilium 10mg,جهاز هضمي,false,30,15,
Nexium 40mg,جهاز هضمي,false,95,20,
Cal-D-Vita,فيتامينات,false,65,30,
Bio Vit-C 1000mg,فيتامينات,false,55,30,
Feroglobin,فيتامينات,false,120,30,
Omega Life 3,فيتامينات,false,140,30,
Coldrex,نزلات برد,false,25,10,
Comtrex,نزلات برد,false,28,10,
Zyrtec 10mg,حساسية,false,45,20,
